class,CKSAAP_Feature_1182_YC.gap2,AAC_Feature_2_C,CKSAAP_Feature_1862_QC.gap4,CTDD_Feature_161_charge.3.residue0,CKSAAP_Feature_1239_CW.gap3,TPC_Feature_6034_SCQ,PAAC_Feature_2_Xc1.R,CKSAAP_Feature_779_WW.gap1,CKSAAP_Feature_1622_CC.gap4,CTDD_Feature_164_charge.3.residue75
0,0.0088235294117647,0.0233236151603498,0.0029585798816568,8.16326530612245,0.0,0.0,0.638558140770424,0.0,0.0,69.67930029154519
0,0.0,0.0138888888888888,0.0,9.375,0.0,0.0,2.069554667036163,0.0,0.0,69.79166666666666
0,0.00418410041841,0.0165289256198347,0.0042194092827004,12.396694214876034,0.0,0.0,1.983712171507136,0.0,0.0,57.85123966942148
0,0.0043478260869565,0.0171673819742489,0.0043859649122807,13.733905579399142,0.0,0.0,1.4874074099109875,0.0,0.0,58.36909871244635
0,0.006269592476489,0.031055900621118,0.0,6.832298136645963,0.0031446540880503,0.0,2.2585991888765906,0.0,0.0031545741324921,48.4472049689441
0,0.0038167938931297,0.0150943396226415,0.0038461538461538,8.679245283018867,0.0,0.0,1.9320338374607569,0.0,0.0,72.0754716981132
0,0.0046082949308755,0.0181818181818181,0.0046511627906976,18.181818181818183,0.0,0.0,1.7067321813911724,0.0,0.0,60.0
0,0.0019762845849802,0.0294695481335952,0.0059523809523809,4.911591355599214,0.0,0.0,6.060699952559917,0.0,0.0,81.13948919449902
0,0.0059288537549407,0.0196463654223968,0.0019841269841269,5.697445972495088,0.0,0.0,1.9615642766748824,0.0,0.0,74.06679764243614
0,0.0031948881789137,0.0063291139240506,0.0032154340836012,9.49367088607595,0.0,0.0,1.501889805650673,0.0,0.0,52.53164556962025
0,0.0030211480362537,0.0119760479041916,0.0030395136778115,9.281437125748502,0.0,0.0,3.034361989265431,0.0,0.0,64.67065868263472
0,0.0018975332068311,0.0264150943396226,0.0019047619047619,4.716981132075472,0.0,0.0,2.98653772437166,0.0,0.0,70.18867924528301
0,0.0043290043290043,0.0085470085470085,0.0043668122270742,14.957264957264956,0.0,0.0,1.5635789404069564,0.0,0.0,62.82051282051282
0,0.0029673590504451,0.0058823529411764,0.0029850746268656,10.294117647058822,0.0,0.0,1.1966875900252194,0.0,0.0,62.94117647058823
0,0.0045662100456621,0.0135135135135135,0.0046082949308755,7.207207207207207,0.0,0.0,0.9280386383621062,0.0,0.0,59.009009009009006
0,0.0061728395061728,0.036697247706422,0.0031055900621118,7.64525993883792,0.0,0.0,1.9162273134186107,0.0,0.0,49.84709480122324
0,0.0036231884057971,0.017921146953405,0.0036496350364963,8.24372759856631,0.0,0.0,2.195128168544938,0.0,0.0,77.06093189964157
0,0.0040983606557377,0.0161943319838056,0.0041322314049586,6.477732793522267,0.0,0.0,1.7130504271561706,0.0,0.0,48.58299595141701
0,0.005813953488372,0.0230547550432276,0.0058479532163742,8.357348703170029,0.0,0.0,0.9260935798785273,0.0,0.0,81.84438040345822
0,0.0042553191489361,0.0210084033613445,0.0085836909871244,12.184873949579831,0.0,0.0,1.3694318109859314,0.0,0.0,76.89075630252101
0,0.0041152263374485,0.024390243902439,0.0041493775933609,11.788617886178862,0.0,0.0,1.632877042104559,0.0,0.0041493775933609,55.28455284552846
0,0.0027777777777777,0.0137741046831955,0.0,6.0606060606060606,0.0,0.0,3.0875944516946374,0.0,0.0,59.22865013774105
0,0.0044247787610619,0.0262008733624454,0.0044642857142857,12.663755458515285,0.0,0.0,1.4771635392376763,0.0,0.0,58.951965065502186
0,0.0040485829959514,0.016,0.0040816326530612,7.6,0.0,0.0,0.5646763066471626,0.0,0.0,61.6
0,0.0106007067137809,0.0314685314685314,0.0035587188612099,4.195804195804196,0.0,0.0,1.3324753385210806,0.0,0.0,42.65734265734265
0,0.0085227272727272,0.0197183098591549,0.0028571428571428,5.352112676056338,0.0,0.0,2.2091830861706407,0.0,0.0,45.352112676056336
0,0.0033783783783783,0.0133779264214046,0.0034013605442176,5.68561872909699,0.0,0.0,0.6447752459044078,0.0,0.0,65.88628762541806
0,0.0038167938931297,0.0188679245283018,0.0038461538461538,15.471698113207546,0.0,0.0,1.1907873958933968,0.0,0.0,62.64150943396226
0,0.0035087719298245,0.0138888888888888,0.0035335689045936,19.791666666666664,0.0,0.0,1.0043788481069786,0.0,0.0,64.23611111111111
